"year"|"categ"|"year.1"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To ROBERT GREENBERG, JOEL HYNEK and EUGENE MAMUT of R/Greenberg Associates, Incorporated, and to DR. ALFRED THUMIM, ELAN LIPSCHITZ and DARRYL A. ARMOUR of the Oxberry Division of Richmark Camera Service, Incorporated, for the design and development of the RGA/Oxberry Compu-Quad Special Effects Optical Printer. [Special Photographic]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To PROFESSOR FRITZ SENNHEISER of Sennheiser Electronic Corporation for the invention of an interference tube directional microphone. [Sound]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To RICHARD EDLUND, GENE WHITEMAN, DAVID GRAFTON, MARK WEST, JERRY JEFFRESS and BOB WILCOX of Boss Film Corporation for the design and development of a Zoom Aerial (ZAP) 65mm Optical Printer. [Special Photographic]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To WILLIAM L. FREDRICK and HAL NEEDHAM for the design and development of the Shotmaker Elite camera car and crane. [Camera Cranes]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To LEE ELECTRIC (LIGHTING) LIMITED for the design and development of an electronic, flicker-free, discharge lamp control system. [Lighting]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To PETER D. PARKS of Oxford Scientific Films' Image Quest Division for the development of a live aero-compositor for special effects photography. [Special Photographic]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To MATT SWEENEY and LUCINDA STRUB for the development of an automatic capsule gun for simulating bullet hits for motion picture special effects. [Stage Operations]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To CARL HOLMES of Carl E. Holmes Company and to ALEXANDER BRYCE of The Burbank Studios for the development of a mobile DC power supply unit for motion picture production photography. [Lighting]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To BRAN FERREN of Associates and Ferren for the development of a laser synchro-cue system for applications in the motion picture industry. [Special Photographic]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To JOHN L. BAPTISTA of Metro-Goldwyn-Mayer Laboratories, Inc. for the development and installation of a computerized silver recovery operation. [Laboratory]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DAVID W. SAMUELSON for the development of programs incorporated into a pocket computer for motion picture cinematographers, and to WILLIAM B. POLLARD for contributing new algorithms on which the programs are based. [Photography]"
"1986 (59th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To HAL LANDAKER and ALAN LANDAKER of The Burbank Studios for the development of the Beat System low-frequency cue track for motion picture production sound recording. [Sound]"
"1986 (59th)"|"MEDAL OF COMMENDATION"|"To E. M. (Al) Lewis in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences."
"1987 (60th)"|"ACTOR IN A LEADING ROLE"|"Michael Douglas -- Wall Street  {\"Gordon Gekko\"}"
"1987 (60th)"|"ACTOR IN A SUPPORTING ROLE"|"Sean Connery -- The Untouchables  {\"Jim Malone\"}"
"1987 (60th)"|"ACTRESS IN A LEADING ROLE"|"Cher -- Moonstruck  {\"Loretta Castorini\"}"
"1987 (60th)"|"ACTRESS IN A SUPPORTING ROLE"|"Olympia Dukakis -- Moonstruck  {\"Rose Castorini\"}"
"1987 (60th)"|"ART DIRECTION"|"The Last Emperor  -- Art Direction: Ferdinando Scarfiotti; Set Decoration: Bruno Cesari, Osvaldo Desideri"
"1987 (60th)"|"CINEMATOGRAPHY"|"The Last Emperor  -- Vittorio Storaro"
"1987 (60th)"|"COSTUME DESIGN"|"The Last Emperor  -- James Acheson"
"1987 (60th)"|"DIRECTING"|"The Last Emperor  -- Bernardo Bertolucci"
"1987 (60th)"|"DOCUMENTARY (Feature)"|"The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table  -- Aviva Slesin, Producer"
"1987 (60th)"|"DOCUMENTARY (Short Subject)"|"Young at Heart  -- Sue Marx and Pamela Conn, Producers"
"1987 (60th)"|"FILM EDITING"|"The Last Emperor  -- Gabriella Cristiani"
"1987 (60th)"|"FOREIGN LANGUAGE FILM"|"Babette's Feast  -- Denmark"
"1987 (60th)"|"MAKEUP"|"Harry and the Hendersons --  Rick Baker"
"1987 (60th)"|"MUSIC (Original Score)"|"The Last Emperor --  Ryuichi Sakamoto, David Byrne, Cong Su"
"1987 (60th)"|"MUSIC (Original Song)"|"\"(I've Had) The Time Of My Life\" from Dirty Dancing  -- Music by Franke Previte, John DeNicola and Donald Markowitz; Lyric by Franke Previte"
"1987 (60th)"|"BEST PICTURE"|"The Last Emperor  -- Jeremy Thomas, Producer"
"1987 (60th)"|"SHORT FILM (Animated)"|"The Man Who Planted Trees --  Frédéric Back, Producer"
"1987 (60th)"|"SHORT FILM (Live Action)"|"Ray's Male Heterosexual Dance Hall --  Jonathan Sanger and Jana Sue Memel, Producers"
"1987 (60th)"|"SOUND"|"The Last Emperor --  Bill Rowe, Ivan Sharrock"
"1987 (60th)"|"VISUAL EFFECTS"|"Innerspace  -- Dennis Muren, William George, Harley Jessup, Kenneth Smith"
"1987 (60th)"|"WRITING (Screenplay Based on Material from Another Medium)"|"The Last Emperor  -- Mark Peploe, Bernardo Bertolucci"
"1987 (60th)"|"WRITING (Screenplay Written Directly for the Screen)"|"Moonstruck  -- John Patrick Shanley"
"1987 (60th)"|"SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)"|"RoboCop  -- Stephen Flick, John Pospisil"
"1987 (60th)"|"IRVING G. THALBERG MEMORIAL AWARD"|"Billy Wilder"
"1987 (60th)"|"GORDON E. SAWYER AWARD"|"Fred Hynes"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit)"|"To BERNHARD KÜHL and WERNER BLOCK and to the OSRAM GmbH RESEARCH AND DEVELOPMENT DEPARTMENT for the invention and the continuing improvement of the OSRAM HMI light source for motion picture photography. [Lighting]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To WILLI BURTH and KINOTONE CORPORATION for the invention and development of the Non-rewind Platter System for motion picture presentations. [Projection]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To MONTAGE GROUP, LTD. for the development, and to RONALD C. BARKER and CHESTER L. SCHULER for the invention, of the Montage Picture Processor electronic film editing system. [Editorial]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To COLIN F. MOSSMAN and RANK FILM LABORATORIES' DEVELOPMENT GROUP for creating a fully-automated, film handling system for improving productivity of high speed film processing. [Laboratory]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To EASTMAN KODAK COMPANY for the development of Eastman Color High Speed Daylight Negative Film 5297/7297. [Film]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To EASTMAN KODAK COMPANY for the development of Eastman Color High Speed SA Negative Film 5295 for blue-screen traveling matte photography. [Film]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To FRITZ GABRIEL BAUER for the invention and development of the improved features of the Moviecam Camera System. [Camera]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To ZORAN PERISIC of Courier Films Ltd. for the Zoptic dual-zoom front projection system for visual effects photography. [Special Photographic]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To the CARL ZEISS COMPANY for the design and development of a series of super-speed lenses for motion picture photography. [Lenses and Filters]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To IOAN ALLEN of Dolby Laboratories, Inc., for the Cat. 43 playback-only noise reduction unit and its practical application to motion picture sound recordings. [Sound]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To JOHN EPPOLITO, WALLY GENTLEMAN, WILLIAM MESA, LES PAUL ROBLEY and GEOFFREY H. WILLIAMSON for refinements to a dual screen, front projection, image-compositing system. [Special Photographic]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To JAN JACOBSEN for the application of a dual screen, front projection system to motion picture special effects photography. [Special Photographic]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To THAINE MORRIS and DAVID PIER for the development of DSC Spark Devices for motion picture special effects. [Stage Operations]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To TADEUZ KRZANOWSKI of Industrial Light and Magic, Inc., for the development of a Wire Rig Model Support Mechanism used to control the movements of miniatures in special effects. [Stage Operations]"
"1987 (60th)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DAN C. NORRIS and TIM COOK of Norris Film Products for the development of a single-frame exposure system for motion picture photography. [Camera]"
"1988 (61st)"|"ACTOR IN A LEADING ROLE"|"Dustin Hoffman -- Rain Man  {\"Raymond Babbitt\"}"
"1988 (61st)"|"ACTOR IN A SUPPORTING ROLE"|"Kevin Kline -- A Fish Called Wanda  {\"Otto\"}"
"1988 (61st)"|"ACTRESS IN A LEADING ROLE"|"Jodie Foster -- The Accused  {\"Sarah Tobias\"}"
"1988 (61st)"|"ACTRESS IN A SUPPORTING ROLE"|"Geena Davis -- The Accidental Tourist  {\"Muriel\"}"
"1988 (61st)"|"ART DIRECTION"|"Dangerous Liaisons  -- Art Direction: Stuart Craig; Set Decoration: Gerard James"
"1988 (61st)"|"CINEMATOGRAPHY"|"Mississippi Burning  -- Peter Biziou"
"1988 (61st)"|"COSTUME DESIGN"|"Dangerous Liaisons  -- James Acheson"
"1988 (61st)"|"DIRECTING"|"Rain Man  -- Barry Levinson"
"1988 (61st)"|"DOCUMENTARY (Feature)"|"Hotel Terminus: The Life and Times of Klaus Barbie  -- Marcel Ophuls, Producer"
"1988 (61st)"|"DOCUMENTARY (Short Subject)"|"You Don't Have to Die  -- William Guttentag and Malcolm Clarke, Producers"
"1988 (61st)"|"FILM EDITING"|"Who Framed Roger Rabbit  -- Arthur Schmidt"
"1988 (61st)"|"FOREIGN LANGUAGE FILM"|"Pelle the Conqueror  -- Denmark"
"1988 (61st)"|"MAKEUP"|"Beetlejuice --  Ve Neill, Steve La Porte, Robert Short"
"1988 (61st)"|"MUSIC (Original Score)"|"The Milagro Beanfield War --  Dave Grusin"
"1988 (61st)"|"MUSIC (Original Song)"|"\"Let The River Run\" from Working Girl  -- Music and Lyric by Carly Simon"
"1988 (61st)"|"BEST PICTURE"|"Rain Man  -- Mark Johnson, Producer"
"1988 (61st)"|"SHORT FILM (Animated)"|"Tin Toy --  John Lasseter, William Reeves"
"1988 (61st)"|"SHORT FILM (Live Action)"|"The Appointments of Dennis Jennings --  Dean Parisot, Steven Wright"
"1988 (61st)"|"SOUND"|"Bird --  Les Fresholtz, Dick Alexander, Vern Poore, Willie D. Burton"
"1988 (61st)"|"SOUND EFFECTS EDITING"|"Who Framed Roger Rabbit  -- Charles L. Campbell, Louis L. Edemann"
"1988 (61st)"|"VISUAL EFFECTS"|"Who Framed Roger Rabbit  -- Ken Ralston, Richard Williams, Edward Jones, George Gibbs"
"1988 (61st)"|"WRITING (Screenplay Based on Material from Another Medium)"|"Dangerous Liaisons  -- Christopher Hampton"
"1988 (61st)"|"WRITING (Screenplay Written Directly for the Screen)"|"Rain Man  -- Screenplay by Ronald Bass, Barry Morrow; Story by Barry Morrow"
"1988 (61st)"|"SPECIAL ACHIEVEMENT AWARD"|"To Richard Williams for the animation direction of Who Framed Roger Rabbit."
"1988 (61st)"|"HONORARY AWARD"|"To the National Film Board of Canada in recognition of its 50th anniversary and its dedicated commitment to originate artistic, creative and technological activity and excellence in every area of film making."
"1988 (61st)"|"HONORARY AWARD"|"To Eastman Kodak Company in recognition of the company's fundamental contributions to the art of motion pictures during the first century of film history."
"1988 (61st)"|"GORDON E. SAWYER AWARD"|"Gordon Henry Cook"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit)"|"To RAY DOLBY and IOAN ALLEN of Dolby Laboratories Incorporated for their continuous contributions to motion picture sound through the research and development programs of Dolby Laboratories. [Sound]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To ROY W. EDWARDS and the ENGINEERING STAFF OF PHOTO-SONICS, INCORPORATED for the design and development of the Photo-Sonics 35mm-4ER High-Speed Motion Picture Camera with Reflex Viewing and Video Assist. [Camera]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To the ARNOLD & RICHTER ENGINEERING STAFF, OTTO BLASCHEK and ARRIFLEX CORPORATION for the concept and engineering of the Arriflex 35-3 Motion Picture Camera. [Camera]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To BILL TONDREAU of Tondreau Systems / to ALVAH MILLER and PAUL JOHNSON of Lynx Robotics / to PETER A. REGLA of Elicon / to DAN SLATER / to BUD ELAM, JOE PARKER and BILL BRYAN of Interactive Motion Control / and to JERRY JEFFRESS, RAY FEENEY, BILL HOLLAND and KRIS BROWN for their individual contributions and the collective advancements they have brought to the motion picture industry in the field of motion control technology. [Special Photographic]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To GRANT LOUCKS of Alan Gordon Enterprises Incorporated for the design concept, and to GEOFFREY H. WILLIAMSON of Wilcam for the mechanical and electrical engineering, of the Image 300 35mm High-Speed Motion Picture Camera. [Camera]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To MICHAEL V. CHEWEY, III for the development of the motion picture industry's first paper tape reader incorporating microprocessor technology. [Laboratory]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To BHP, INC., successor to the Bell & Howell Professional Equipment Division, for the development of a high-speed reader incorporating microprocessor technology for motion picture laboratories. [Laboratory]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To HOLLYWOOD FILM COMPANY for the development of a high-speed reader incorporating microprocessor technology for motion picture laboratories. [Laboratory]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To BRUCE W. KELLER and MANFRED G. MICHELSON of Technical Film Systems for the design and development of a high-speed light valve controller and constant current power supply for motion picture laboratories. [Laboratory]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DR. ANTAL LISZIEWICZ and GLENN M. BERGGREN of ISCO-OPTIC GmbH for the design and development of the Ultra-Star series of motion picture lenses. [Lenses and Filters]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To JAMES K. BRANCH of Spectra Cine, Incorporated, and to WILLIAM L. BLOWERS and NASIR J. ZAIDI for the design and development of the Spectra CineSpot one-degree spotmeter for measuring the brightness of motion picture screens. [Photography]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To BOB BADAMI, DICK BERNSTEIN and BILL BERNSTEIN of Offbeat Systems for the design and development of the Streamline Scoring System, Mark IV, for motion picture music editing. [Editorial]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To GARY ZELLER of Zeller International Limited for the development of Zel-Jel fire protection barrier for motion picture stunt work. [Stage Operations]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To EMANUEL TRILLING of Trilling Resources Limited for the development of Stunt-Gel fire protection barrier for motion picture stunt work. [Stage Operations]"
"1988 (61st)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To PAUL A. ROOS for the invention of a method known as Video Assist, whereby a scene being photographed on motion picture film can be viewed on a monitor and/or recorded on video tape. [Systems]"
"1989 (62nd)"|"ACTOR IN A LEADING ROLE"|"Daniel Day Lewis -- My Left Foot  {\"Christy Brown\"}"
"1989 (62nd)"|"ACTOR IN A SUPPORTING ROLE"|"Denzel Washington -- Glory  {\"Trip\"}"
"1989 (62nd)"|"ACTRESS IN A LEADING ROLE"|"Jessica Tandy -- Driving Miss Daisy  {\"Daisy Werthan\"}"
"1989 (62nd)"|"ACTRESS IN A SUPPORTING ROLE"|"Brenda Fricker -- My Left Foot  {\"Mrs. Brown\"}"
"1989 (62nd)"|"ART DIRECTION"|"Batman  -- Art Direction: Anton Furst; Set Decoration: Peter Young"
"1989 (62nd)"|"CINEMATOGRAPHY"|"Glory  -- Freddie Francis"
"1989 (62nd)"|"COSTUME DESIGN"|"Henry V  -- Phyllis Dalton"
"1989 (62nd)"|"DIRECTING"|"Born on the Fourth of July  -- Oliver Stone"
"1989 (62nd)"|"DOCUMENTARY (Feature)"|"Common Threads: Stories from the Quilt  -- Robert Epstein and Bill Couturié, Producers"
"1989 (62nd)"|"DOCUMENTARY (Short Subject)"|"The Johnstown Flood  -- Charles Guggenheim, Producer"
"1989 (62nd)"|"FILM EDITING"|"Born on the Fourth of July  -- David Brenner, Joe Hutshing"
"1989 (62nd)"|"FOREIGN LANGUAGE FILM"|"Cinema Paradiso  -- Italy"
"1989 (62nd)"|"MAKEUP"|"Driving Miss Daisy --  Manlio Rocchetti, Lynn Barber, Kevin Haney"
"1989 (62nd)"|"MUSIC (Original Score)"|"The Little Mermaid --  Alan Menken"
"1989 (62nd)"|"MUSIC (Original Song)"|"\"Under The Sea\" from The Little Mermaid  -- Music by Alan Menken; Lyric by Howard Ashman"
"1989 (62nd)"|"BEST PICTURE"|"Driving Miss Daisy  -- Richard D. Zanuck and Lili Fini Zanuck, Producers"
"1989 (62nd)"|"SHORT FILM (Animated)"|"Balance --  Christoph Lauenstein, Wolfgang Lauenstein"
"1989 (62nd)"|"SHORT FILM (Live Action)"|"Work Experience --  James Hendrie"
"1989 (62nd)"|"SOUND"|"Glory --  Donald O. Mitchell, Gregg C. Rudloff, Elliot Tyson, Russell Williams II"
"1989 (62nd)"|"SOUND EFFECTS EDITING"|"Indiana Jones and the Last Crusade  -- Ben Burtt, Richard Hymns"
"1989 (62nd)"|"VISUAL EFFECTS"|"The Abyss  -- John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak"
"1989 (62nd)"|"WRITING (Screenplay Based on Material from Another Medium)"|"Driving Miss Daisy  -- Alfred Uhry"
"1989 (62nd)"|"WRITING (Screenplay Written Directly for the Screen)"|"Dead Poets Society  -- Tom Schulman"
"1989 (62nd)"|"JEAN HERSHOLT HUMANITARIAN AWARD"|"Howard W. Koch"
"1989 (62nd)"|"HONORARY AWARD"|"To Akira Kurosawa for accomplishments that have inspired, delighted, enriched and entertained audiences and influenced filmmakers throughout the world."
"1989 (62nd)"|"GORDON E. SAWYER AWARD"|"Pierre Angenieux"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To JAMES KETCHAM of JSK Engineering, for the excellence in engineering and the broad adaptability of the SDA521B Advance/Retard system for magnetic film sound dubbing. [Sound]"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To J. NOXON LEAVITT, for the invention of, and ISTEC, INCORPORATED, for the continuing development of the Wescam Stabilized Camera System. [Camera]"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To GEOFFREY H. WILLIAMSON of Wilcam Photo Research, Incorporated, for the design and development, and to ROBERT D. AUGUSTE for the electronic design and development of the Wilcam W-7 200 frames-per-second VistaVision Rotating Mirror Reflex Camera. [Camera]"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To J. L. FISHER of J. L. Fisher, Incorporated, for the design and manufacture of a small, mobile motion picture camera platform known as the Fisher Model Ten Dolly. [Camera Cranes]"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To KLAUS RESCH for the design, ERICH FITZ and FGV SCHMIDLE & FITZ for the development of the Super Panther MS-180 Camera Dolly. [Camera Cranes]"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DR. LEO CATOZZO for the design and development of the CIR-Catozzo Self-Perforating Adhesive Tape Film Splicer. [Editorial]"
"1989 (62nd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To MAGNA-TECH ELECTRONIC COMPANY for the introduction of the first remotely controlled Advance/Retard function for magnetic film sound dubbing. [Sound]"
"1989 (62nd)"|"AWARD OF COMMENDATION"|"The Academy of Motion Picture Arts and Sciences' Board of Governors commends the contributions of the members of the engineering committees of the Society of Motion Picture and Television Engineers (SMPTE). By establishing industry standards, they have greatly contributed to making film a primary form of international communication."
"1990 (63rd)"|"ACTOR IN A LEADING ROLE"|"Jeremy Irons -- Reversal of Fortune  {\"Claus Von Bulow\"}"
"1990 (63rd)"|"ACTOR IN A SUPPORTING ROLE"|"Joe Pesci -- Good Fellas  {\"Tommy DeVito\"}"
"1990 (63rd)"|"ACTRESS IN A LEADING ROLE"|"Kathy Bates -- Misery  {\"Annie Wilkes\"}"
"1990 (63rd)"|"ACTRESS IN A SUPPORTING ROLE"|"Whoopi Goldberg -- Ghost  {\"Oda Mae Brown\"}"
"1990 (63rd)"|"ART DIRECTION"|"Dick Tracy  -- Art Direction: Richard Sylbert; Set Decoration: Rick Simpson"
"1990 (63rd)"|"CINEMATOGRAPHY"|"Dances With Wolves  -- Dean Semler"
"1990 (63rd)"|"COSTUME DESIGN"|"Cyrano de Bergerac  -- Franca Squarciapino"
"1990 (63rd)"|"DIRECTING"|"Dances With Wolves  -- Kevin Costner"
"1990 (63rd)"|"DOCUMENTARY (Feature)"|"American Dream  -- Barbara Kopple and Arthur Cohn, Producers"
"1990 (63rd)"|"DOCUMENTARY (Short Subject)"|"Days of Waiting  -- Steven Okazaki, Producer"
"1990 (63rd)"|"FILM EDITING"|"Dances With Wolves  -- Neil Travis"
"1990 (63rd)"|"FOREIGN LANGUAGE FILM"|"Journey of Hope  -- Switzerland"
"1990 (63rd)"|"MAKEUP"|"Dick Tracy --  John Caglione, Jr., Doug Drexler"
"1990 (63rd)"|"MUSIC (Original Score)"|"Dances With Wolves --  John Barry"
"1990 (63rd)"|"MUSIC (Original Song)"|"\"Sooner Or Later (I Always Get My Man)\" from Dick Tracy  -- Music and Lyric by Stephen Sondheim"
"1990 (63rd)"|"BEST PICTURE"|"Dances With Wolves  -- Jim Wilson and Kevin Costner, Producers"
"1990 (63rd)"|"SHORT FILM (Animated)"|"Creature Comforts --  Nick Park"
"1990 (63rd)"|"SHORT FILM (Live Action)"|"The Lunch Date --  Adam Davidson"
"1990 (63rd)"|"SOUND"|"Dances With Wolves --  Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II"
"1990 (63rd)"|"SOUND EFFECTS EDITING"|"The Hunt for Red October  -- Cecelia Hall, George Watters II"
"1990 (63rd)"|"WRITING (Screenplay Based on Material from Another Medium)"|"Dances With Wolves  -- Michael Blake"
"1990 (63rd)"|"WRITING (Screenplay Written Directly for the Screen)"|"Ghost  -- Bruce Joel Rubin"
"1990 (63rd)"|"SPECIAL ACHIEVEMENT AWARD (Visual Effects)"|"Total Recall  -- Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke"
"1990 (63rd)"|"HONORARY AWARD"|"To Sophia Loren, one of the genuine treasures of world cinema who, in a career rich with memorable performances, has added permanent luster to our art form."
"1990 (63rd)"|"HONORARY AWARD"|"To Myrna Loy, in recognition of her extraordinary qualities both on screen and off, with appreciation for a lifetime's worth of indelible performances."
"1990 (63rd)"|"IRVING G. THALBERG MEMORIAL AWARD"|"David Brown and Richard D. Zanuck"
"1990 (63rd)"|"GORDON E. SAWYER AWARD"|"Stefan Kudelski"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit)"|"To EASTMAN KODAK COMPANY for the development of T-Grain technology and the introduction of EXR color negative films which utilize this technology. [Film]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To BRUCE WILTON and CARLOS ICINKOFF of Mechanical Concepts, Incorporated, for the development of the Mechanical Concepts Optical Printer Platform. [Special Photographic]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To the ENGINEERING DEPARTMENT OF ARNOLD & RICHTER for the continued design improvements of the Arriflex BL Camera System, culminating in the 35BL-4S model. [Camera]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To the FUJI PHOTO FILM COMPANY, LIMITED, for the development and introduction of the F-Series of color negative films covering the range of film speeds from EI 64 to EI 500. [Film]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To MANFRED G. MICHELSON of Technical Film Systems, Incorporated, for the design and development of the first sprocket-driven film transport system for color print film processors which permits transport speeds in excess of 600 feet per minute. [Laboratory]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award)"|"To JOHN W. LANG, WALTER HRASTNIK and CHARLES J. WATSON of Bell and Howell Company for the development and manufacture of a modular continuous contact motion picture film printer. [Laboratory]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To WILLIAM L. BLOWERS of Belco Associates, Incorporated and THOMAS F. DENOVE for the development and manufacture of the Belco/Denove Cinemeter. This digital/analog exposure meter was specifically and uniquely designed for the cinematographer. [Photography]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To IAIN NEIL for optical design; TAKUO MIYAGISHIMA for the mechanical design; and PANAVISION, INCORPORATED, for the concept and development of the Primo Series of spherical prime lenses for 35mm cinematography. [Lenses and Filters]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To CHRISTOPHER S. GILMAN and HARVEY HUBERT, JR. of the Diligent Dwarves Effects Lab for the development of the Actor Climate System, consisting of heat-transferring undergarments. [Stage Operations]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To JIM GRAVES of J&G Enterprises for the development of the Cool Suit System, consisting of heat-transferring undergarments. [Stage Operations]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To BENGT O. ORHALL, KENNETH LUND, BJORN SELIN and KJELL HOGBERG of AB Film-Teknik for the development and manufacture of the Mark IV film subtitling processor, which has increased the speed, simplified the operation and improved the quality of subtitling. [Laboratory]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To RICHARD MULA and PETE ROMANO of HydroImage, Incorporated, for the development of the SeaPar 1200 watt HMI Underwater Lamp. [Lighting]"
"1990 (63rd)"|"SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award)"|"To DEDO WEIGERT of Dedo Weigert Film GmbH for the development of the Dedolight, a miniature low-voltage tungsten-halogen lighting fixture. [Lighting]"
